ID,SentDate,report_type_id,ClickCount,DesktopClicks,DesktopOpens,Devices,EngagedReads,Ignored,Interactions,LinksClicked,LinksSent,Messages,MobileOpens,MobileClicks,MobileUnique,MultipleOpens,MultipleResponses,MultipleClicks,MultipleReads,NewOpens,NonUniqueClicks,NonUniqueOpens,Oof,OpenCount,OptOutCount,OptIns,ReadCount,ReadRate,Recipients,ReplyCount,Sent,Skimmed,UndeliverableCount,OpenRate,ReadsRate,ClickRate,AttentionRate,EffectiveRate,EngagementRate,UndeliverableRate,OofRate,OptOutRate,MultipleOpenRate,MultipleReadRate,ContentUtilization,EngagedReadRate,IgnoredRate,SkimmedRate,ForwardRate,ReplyRate,LeftOpen
291,2018-04-20T12:19:53.1870000+00:00,8,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,1,0,0,1,0,5,0,0,3,0,1,0,5,0,0,0,5,0,0,0,3333,0,0,0,0,5,0,0,5,0,0,0,0,1
1014,2018-02-14T18:59:21.9570000+00:00,7,0,0,34,40,25,0,0,0,0,6,0,0,0,25,0,0,18,0,0,366,1,28,0,0,26,0,7879,0,2,33,2,0,0,8485,0,0,0,8485,0,0,8785,0,0,0303,0,0,7576,0,5455,0,0,7576,0,0,0606,0,0,0606,17
1015,2018-04-23T12:31:14.7600000+00:00,7,3,3,51,55,13,10,0,3,12,52,0,0,0,14,0,3,13,0,8,126,0,27,1,0,13,0,1066,0,0,123,4,1,0,2213,0,0,0246,0,1393,0,1,0,0081,0,0,0082,0,1148,0,1066,0,25,0,1066,-0,082,0,0328,0,0,24
1019,2018-04-16T20:05:34.2830000+00:00,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,2018-04-19T20:29:32.2730000+00:00,7,0,0,2,3,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,1,0,0,1,0,5,0,0,2,0,0,0,5,0,0,0,5,0,1,0,0,0,0,5,0,5,0,0,5,0,0,0,0,1
1066,2018-04-17T16:57:20.7630000+00:00,6,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,5,0,0,2,0,0,0,5,0,0,0,5,0,1,0,0,0,0,5,0,5,0,0,5,0,0,0,0,1
1067,1/1/1900 12:00:00 AM +00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,2018-03-23T04:01:05.7600000+00:00,6,0,0,10,10,0,7,0,0,0,28,0,0,0,1,0,0,0,0,0,15,1,10,0,0,0,0,0,0,65,3,4,0,1639,0,0,0,0492,0,0,1433,0,0615,0,0164,0,0,0164,0,0,0,-0,1148,0,0492,0,0,1
1069,2018-04-23T12:31:14.7600000+00:00,6,4,4,58,65,16,10,0,4,13,55,0,0,0,17,0,3,16,0,9,149,0,30,1,0,16,0,126,0,0,128,4,1,0,2362,0,0,0315,0,1575,0,1,0,0078,0,0,0079,0,1339,0,126,0,3077,0,126,-0,0787,0,0315,0,0,27
1072,1/1/1900 12:00:00 AM +00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
